
Tag	g__Mycoplasmoides	GB	Group	g__Streptococcus	g__Moraxella	g__Prevotella	g__Neisseria	g__Veillonella	g__Haemophilus	g__Acinetobacter	g__Providencia	g__Pauljensenia	g__Cutibacterium	g__Sphingomonas	g__Pseudomonas_E	g__Capnocytophaga	g__Granulicatella	g__Haemophilus_D	g__Actinomyces	g__Dolosigranulum	g__Porphyromonas	g__Alloprevotella	g__Rothia	g__Corynebacterium	g__Gemella	g__Moraxella_A	g__Bacillus	g__Leptotrichia_A	g__Lancefieldella	g__Brevundimonas	g__Anaeroglobus	g__Fusobacterium	g__Mesorhizobium	g__Sediminibacterium	g__Ralstonia	g__Campylobacter_A	g__Rahnella	g__Nanosynbacter	g__Abiotrophia	g__Leptotrichia	g__Rhodococcus	g__Microbacterium	g__Staphylococcus	g__Oribacterium	g__Tannerella	g__Lachnoanaerobaculum	g__Methyloversatilis	g__Pseudomonas	g__Acidovorax	g__Diaphorobacter	g__Bosea	g__Buttiauxella	g__Haemophilus_A	g__Centipeda	g__Eikenella	g__JABCPH02	g__F0422	g__Bradyrhizobium	g__Kingella_A	g__Lautropia	g__Tepidimonas	g__Bulleidia	g__Candidatus_Minimicrobia	g__Moryella	g__Treponema	g__Klebsiella	g__Metamycoplasma	g__Gulosibacter	g__Janibacter_A	g__Mogibacterium	g__Escherichia	g__Peptostreptococcus	g__Enterobacter	g__Aquabacterium	g__Arachnia	g__Comamonas	g__Cardiobacterium	g__Parvimonas	g__Dermacoccus	g__Pseudoxanthomonas_A	g__Blastomonas	g__Catonella	g__Phocaeicola	g__Treponema_B	g__Paracoccus	g__Branchiibius	g__Faecalibacterium	g__Craurococcus	g__Streptomyces	g__Methylobacterium	g__Bacteroides	g__Saccharopolyspora	g__Pseudonocardia	g__Peptidiphaga	g__Stenotrophomonas	g__Pantoea	g__Lactobacillus	g__Micrococcus	g__Sphingomonas_N	g__U87765	g__Ottowia	g__Filifactor	g__Brevibacterium	g__Kocuria	g__Campylobacter_B	g__Lawsonella	g__Photobacterium	g__Ligilactobacillus	g__Tropheryma	g__Treponema_D	g__Aggregatibacter	g__Pseudoxanthomonas	g__Mixta	g__Brochothrix	g__Scardovia	g__Zoogloea	g__Afipia	g__Moraxella_C	g__Treponema_C	g__Sphingopyxis	g__Candidatus_Nanosynsacchari	g__Solobacterium	g__Kingella_B	g__Mycoplasma	g__Selenomonas	g__Gordonia	g__Nanoperiomorbus	g__Allisonella	g__Latilactobacillus	g__Sphingomicrobium	g__Janibacter	g__Dyella_B	g__Anaerococcus	g__Pelomonas	g__Pseudostreptobacillus	g__Nocardioides	g__Actinomycetospora	g__Brachybacterium	g__Streptobacillus	g__PUIC01	g__Deinococcus	g__Serratia_J	g__Wolbachia	g__CAJPNX01	g__Kluyvera	g__Candidatus_Nanoperiomorbus	g__Hyphomicrobium_C	g__Limosilactobacillus	g__Rodentibacter	g__Nanosyncoccus	g__Berryella	g__Vibrio	g__Weissella	g__Olsenella_F	g__Campylobacter	g__Noviherbaspirillum_A	g__Dialister	g__Lactococcus_A	g__Friedmanniella	g__Epilithonimonas	g__Vagococcus	g__Pseudomonas_B	g__Carnobacterium	g__Bifidobacterium	g__Allosphingosinicella	g__Microcella	g__Peptoanaerobacter	g__Isoptericola	g__Thermus	g__Telluria	g__Microvirga	g__Aeromonas	g__Blastococcus	g__Methylophilus	g__Segatella	g__Slackia	g__Pediococcus	g__Duffyella	g__Flavonifractor	g__Kingella	g__Fretibacterium	g__Vagococcus_D	g__Psychrobacter	g__Azospira	g__Lelliottia	g__Microlunatus_A	g__Marmoricola	g__Johnsonella	g__Enterenecus	g__Nocardiopsis	g__Leuconostoc	g__Candidatus_Nitrosocosmicus	g__Pandoraea	g__Methanocorpusculum	g__Intestinimonas	g__Clavibacter	g__Pseudorhodoferax	g__Peptoniphilus	g__Chryseobacterium	g__Thermophilibacter	g__Cryptobacterium	g__Cellulosimicrobium	g__Brevibacillus	g__Olsenella	g__Caldimonas	g__Labrys	g__Mediterraneibacter	g__Geodermatophilus	g__Jeotgalicoccus	g__Ornithinimicrobium	g__Candidatus_Nanosynbacter	g__Ezakiella	g__Nesterenkonia	g__Bergeyella_A	g__Methylovorus	g__Citrobacter	g__Bacillus_O	g__Hyphomicrobium_B	g__Serratia_A	g__Aliterella	g__Akkermansia	g__Beutenbergia	g__Acidocella	g__Erwinia	g__Bergeyella	g__VLJP01	g__Enterococcus_B	g__Pseudoroseomonas	g__Morganella	g__Lysobacter_F	g__Cloacibacterium	g__Jatrophihabitans	g__Pluralibacter	g__Leclercia	g__Tepidiphilus	g__Phenylobacterium	g__Thiobacillus	g__Sphingobium	g__Aedoeadaptatus	g__Arsenicibacter	g__Pseudactinotalea	g__Mycobacterium	g__Anoxybacillus	g__Lacticaseibacillus	g__Agrococcus	g__Arthrobacter	g__Sphingomonas_B	g__Knoellia	g__Shuttleworthia	g__Peptoniphilus_A	g__Finegoldia	g__Trinickia	g__Thermoactinomyces_A	g__Thiomonas	g__Quadrisphaera
A417	0.773683448	0.107871621	HSC	0.097034191	0	0.057748507	0	0.045011119	0	0	0	0.005469835	0	0	0	0	0.005367595	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012277309	0	0	0	0	0.003407997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1019	0.993429717	0.006570283	HSC	0.004110045	0	0	0	0	0	0.002460238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1163	0.986326727	0.000884777	HSC	0	0.005402271	0	0	0	0	0	0	0	0.000884777	0.003542127	0	0	0	0	0	0	0	0	0	0	0	0	0.000495233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001718218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001630646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1164	0.953402622	0.003154062	HSC	0	0.000431258	0	0	0	0	0.001183998	0	0	0.000388132	0.00202299	0	0	0	0	0	0.000388132	0	0.038089843	0	0	0.00059592	0.000986012	0	0	0	0	0	0	0.000556714	0	0.000550834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000276397	0	0	0	0	0	0	0.00112715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1195	0.369373678	0.090281274	HSC	0.013966839	0.615456117	0.002151498	0.001967434	0.000585424	0.003429205	0	0	0.000187131	0	0.000259223	0	0.00055986	0.002167347	0.000886061	0.000170259	0.003095845	0.000168214	0.000490836	0	0.002960354	0.0002582	0.000357901	0.000139581	0.000144183	0	0	0	0.000128333	0	0	8.39E-05	0	0	0	0	0	0	6.39E-05	0	0	9.20E-05	0	0	0	0	0	0	0	0	0	0	0	0.000122709	6.34E-05	0	7.31E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000111461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1198	0.768918816	0.057756004	HSC	0.05377102	0	0.410549458	0.003885141	0.045614742	0	0	0	0.01198268	0	0	0	0.004573222	0.010572953	0	0.023646494	0	0.004506092	0.001577552	0.008072366	0	0.001753768	0	0	0	0.004128487	0	0.007266808	0.001644682	0	0	0	0.010640083	0	0.004942436	0.005168999	0	0	0	0	0	0	0.006377337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005554996	0	0	0	0	0	0	0	0	0	0.002399893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001997113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A297	0.985820115	0.013207289	HSC	0.036545588	0.766291731	0.012890376	0.000963187	0.007715289	0.005253449	0.005521182	0	0.003464207	0.002990776	0.001505183	0	0	0.000646478	0	0.001142764	0.001221125	0	0.009612277	0	0.016142356	0	0.003470737	0.001668435	0	0.003072402	0	0	0.00167823	0.00084891	0	0	0.002670802	0	0	0	0.001789242	0	0.000688923	0.005625663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001195004	0	0	0	0	0	0	0.001508448	0	0	0	0	0	0	0	0	0	0	0	0	0.000610562	0	0	0	0	0	0	0	0	0	0	0.001051343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000894621	0	0	0	0	0	0	0	0	0	0	0	0.000999102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A360	0.037208622	0.550436458	HSC	0.00082276	0.077062275	0.009337455	0	0	0	0.000899816	0	0	0.00267832	0.001342267	0	0	0	0	0	0.081510398	0	0	0	0.053355108	0	0	0.003671348	0	0	0	0	0	0	0	0.000401437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6347	0.939660304	0.052048352	HSC	0.003540302	0.899132014	0.002497086	0	0.001582253	0	0	0	0.001072973	0	0	0	0	0	0	0	0	0	0	0	0	0.000261867	0	0	0	0	0	0.000270369	0.001070423	0	0	0	0	0	0	0	0.000476971	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000321382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A644	0.291993824	0.189501545	HSC	0.175849998	0	0.040760628	0.283908181	0.111678595	0.010108196	0	0	0.017964764	0	0	0	0.018662054	0.011252316	0.076662698	0.00180979	0	0.035471049	0.040833851	0.003783501	0.000780498	0.017679358	0	0	0.001258116	0.000138126	0	0	0.001643372	0	0	0	0.000941091	0	0.007545367	0.008860897	0.002785828	0	0	0	0.000116492	0.00013147	0.000193044	0	0	0	0	0	0	0	8.90E-05	9.99E-05	0	0.001246467	0	0.01634053	0	0	0.002931443	0.000787987	0	0	0	0.00051007	0	0	0	0	0.000816278	0	0	0.000717259	0	0	0	0	0	0	0.000174738	0	0	0	0	0	0	0	0	0	0	0	0.000343652	0	0	0	0	0	0	0	0	0	0	0.000275421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.07E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
